"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","93.53","94.49","94.72","92.76","330.59K","-0.86%"
"09/19/2023","94.34","94.66","95.96","94.16","403.40K","-0.10%"
"09/18/2023","94.43","94.28","94.95","93.79","337.78K","0.53%"
"09/15/2023","93.93","94.02","94.63","92.67","316.90K","0.25%"
"09/14/2023","93.70","92.04","94.21","92.02","310.00K","1.98%"
"09/13/2023","91.88","92.04","92.84","91.63","302.75K","-0.20%"
"09/12/2023","92.06","90.62","92.40","90.52","336.57K","1.57%"
"09/11/2023","90.64","90.83","91.45","90.11","303.42K","-0.01%"
"09/08/2023","90.65","89.79","91.02","89.30","298.14K","0.81%"
"09/07/2023","89.92","90.81","90.89","89.46","213.02K","-0.75%"
"09/06/2023","90.60","90.12","91.10","89.25","282.91K","0.62%"
"09/05/2023","90.04","88.91","91.15","88.06","428.45K","1.17%"
"09/04/2023","89.00","88.95","89.22","88.26","140.67K","0.51%"
"09/01/2023","88.55","86.82","88.99","86.74","380.76K","1.95%"
"08/31/2023","86.86","86.00","86.94","85.74","11.27K","1.16%"
"08/30/2023","85.86","85.62","86.23","85.11","86.74K","0.43%"
"08/29/2023","85.49","84.39","85.65","83.80","115.36K","1.27%"
"08/28/2023","84.42","84.87","85.23","84.11","88.35K","-0.07%"
"08/25/2023","84.48","83.26","84.97","82.67","230.35K","1.34%"
"08/24/2023","83.36","82.95","83.62","81.97","253.84K","0.18%"
"08/23/2023","83.21","83.99","84.26","81.94","361.61K","-0.98%"
"08/22/2023","84.03","84.46","84.66","83.85","287.35K","-0.51%"
"08/21/2023","84.46","84.80","85.86","84.31","289.24K","-0.40%"
"08/18/2023","84.80","83.88","85.08","83.33","287.97K","0.81%"
"08/17/2023","84.12","83.20","84.88","83.05","305.58K","0.80%"
"08/16/2023","83.45","85.20","85.36","83.13","334.45K","-1.70%"
"08/15/2023","84.89","86.12","86.68","84.29","305.41K","-1.53%"
"08/14/2023","86.21","86.53","86.71","85.50","267.09K","-0.69%"
"08/11/2023","86.81","86.37","87.35","85.84","318.06K","0.47%"
"08/10/2023","86.40","87.39","88.10","86.20","337.57K","-1.31%"
"08/09/2023","87.55","86.00","87.65","85.91","388.30K","1.60%"
"08/08/2023","86.17","85.79","86.34","83.32","375.87K","0.97%"
"08/07/2023","85.34","86.23","86.73","85.03","259.62K","-1.04%"
"08/04/2023","86.24","85.31","86.65","85.06","268.75K","1.29%"
"08/03/2023","85.14","83.46","85.41","82.36","392.61K","2.33%"
"08/02/2023","83.20","85.86","85.99","82.74","399.19K","-2.01%"
"08/01/2023","84.91","85.24","85.91","84.21","297.77K","-0.76%"
"07/31/2023","85.56","84.95","85.80","84.40","16.53K","0.67%"
"07/28/2023","84.99","83.71","85.09","83.22","102.84K","0.89%"
"07/27/2023","84.24","82.93","84.50","82.93","110.65K","1.59%"
"07/26/2023","82.92","83.19","83.85","82.58","173.82K","-0.86%"
"07/25/2023","83.64","82.85","83.87","82.22","234.66K","1.09%"
"07/24/2023","82.74","80.95","83.16","80.42","295.10K","2.06%"
"07/21/2023","81.07","79.78","81.24","79.65","294.35K","1.80%"
"07/20/2023","79.64","79.33","80.27","78.66","236.41K","0.23%"
"07/19/2023","79.46","79.84","80.93","79.17","311.44K","-0.21%"
"07/18/2023","79.63","78.52","79.99","78.19","366.47K","1.44%"
"07/17/2023","78.50","79.36","80.64","78.25","341.16K","-1.72%"
"07/14/2023","79.87","81.64","81.70","79.53","311.23K","-1.83%"
"07/13/2023","81.36","80.19","81.75","79.88","416.12K","1.56%"
"07/12/2023","80.11","79.32","80.55","79.21","362.33K","0.89%"
"07/11/2023","79.40","77.82","79.50","77.63","333.84K","2.20%"
"07/10/2023","77.69","78.60","78.77","77.36","288.40K","-0.99%"
"07/07/2023","78.47","76.52","78.54","76.03","331.53K","2.55%"
"07/06/2023","76.52","76.70","77.09","75.03","0.43K","-0.17%"
"07/05/2023","76.65","76.03","76.95","75.30","293.74K","0.52%"
"07/04/2023","76.25","74.89","76.29","74.74","157.96K","2.14%"
"07/03/2023","74.65","75.11","76.60","74.56","328.00K","-0.33%"
"06/30/2023","74.90","74.22","75.40","74.21","14.70K","0.75%"
"06/29/2023","74.34","73.72","74.98","73.39","72.87K","0.42%"
"06/28/2023","74.03","72.62","74.20","71.57","91.45K","2.45%"
"06/27/2023","72.26","74.28","74.90","72.08","161.15K","-2.59%"
"06/26/2023","74.18","74.50","74.85","73.42","150.17K","0.45%"
"06/23/2023","73.85","74.02","74.44","72.11","169.54K","-0.39%"
"06/22/2023","74.14","77.03","77.20","73.59","329.53K","-3.86%"
"06/21/2023","77.12","75.54","77.24","75.52","236.55K","1.61%"
"06/20/2023","75.90","76.12","77.15","74.51","276.38K","-0.25%"
"06/19/2023","76.09","76.40","76.93","75.34","141.42K","-0.68%"
"06/16/2023","76.61","75.64","76.74","75.08","256.25K","1.24%"
"06/15/2023","75.67","73.41","75.97","72.91","260.41K","3.37%"
"06/14/2023","73.20","74.05","75.49","73.03","318.37K","-1.47%"
"06/13/2023","74.29","72.11","74.66","71.94","321.15K","3.41%"
"06/12/2023","71.84","74.87","74.87","71.58","358.50K","-3.94%"
"06/09/2023","74.79","75.53","76.57","74.71","260.20K","-1.54%"
"06/08/2023","75.96","76.80","77.68","73.58","393.89K","-1.29%"
"06/07/2023","76.95","76.22","77.64","75.51","325.63K","0.87%"
"06/06/2023","76.29","76.55","76.75","74.72","304.58K","-0.55%"
