"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","160.00","160.00","160.00","160.00","","0.00%"
"09/22/2023","160.00","160.00","160.00","160.00","","-0.31%"
"09/21/2023","160.50","160.50","160.50","160.50","0.01K","-0.16%"
"09/20/2023","160.75","160.75","160.75","160.75","","0.00%"
"09/19/2023","160.75","160.75","160.75","160.75","","0.00%"
"09/18/2023","160.75","160.75","160.75","160.75","","0.16%"
"09/15/2023","160.50","160.50","160.50","160.50","0.25K","0.22%"
"09/14/2023","160.15","160.50","160.50","160.50","0.04K","-1.29%"
"09/13/2023","162.25","162.25","162.25","162.25","","2.04%"
"09/12/2023","159.00","159.00","159.00","159.00","","0.63%"
"09/11/2023","158.00","158.00","158.00","158.00","","1.12%"
"09/08/2023","156.25","156.25","156.25","156.25","","-0.89%"
"09/07/2023","157.65","157.65","157.65","157.65","","-1.47%"
"09/06/2023","160.00","160.00","160.00","160.00","","-0.31%"
"09/05/2023","160.50","160.50","160.50","160.50","","2.52%"
"09/04/2023","156.55","156.55","156.55","156.55","","0.19%"
"09/01/2023","156.25","156.25","156.25","156.25","0.02K","0.16%"
"08/31/2023","156.00","156.00","156.00","156.00","0.03K","0.00%"
"08/30/2023","156.00","156.00","156.00","156.00","0.08K","-2.19%"
"08/29/2023","159.50","158.50","158.50","158.50","0.09K","-0.16%"
"08/28/2023","159.75","158.50","158.50","158.50","0.00K","6.93%"
"08/25/2023","149.40","149.40","149.40","149.40","","0.27%"
"08/24/2023","149.00","149.00","149.00","149.00","0.00K","-0.67%"
"08/23/2023","150.00","150.00","150.00","150.00","","0.00%"
"08/22/2023","150.00","150.00","150.00","150.00","","0.50%"
"08/21/2023","149.25","149.25","149.25","149.25","","-0.17%"
"08/18/2023","149.50","149.50","149.50","149.50","","1.70%"
"08/17/2023","147.00","147.00","147.00","147.00","","-0.34%"
"08/16/2023","147.50","147.50","147.50","147.50","","0.24%"
"08/15/2023","147.15","147.15","147.15","147.15","","0.44%"
"08/14/2023","146.50","146.50","146.50","146.50","","1.74%"
"08/11/2023","144.00","144.00","144.00","144.00","","0.70%"
"08/10/2023","143.00","143.00","143.00","143.00","","0.35%"
"08/09/2023","142.50","142.50","142.50","142.50","0.02K","0.00%"
"08/08/2023","142.50","142.50","142.50","142.50","0.05K","0.99%"
"08/07/2023","141.10","141.10","141.10","141.10","0.01K","2.99%"
"08/04/2023","137.00","136.00","136.00","136.00","0.01K","0.11%"
"08/03/2023","136.85","136.85","136.85","136.85","0.02K","2.51%"
"08/02/2023","133.50","134.00","134.00","134.00","0.00K","-0.63%"
"08/01/2023","134.35","135.00","135.00","135.00","0.06K","-2.15%"
"07/31/2023","137.30","137.30","137.30","137.30","0.02K","2.12%"
"07/28/2023","134.45","139.00","139.00","139.00","","0.34%"
"07/27/2023","134.00","134.00","134.00","134.00","","0.00%"
"07/26/2023","134.00","134.00","134.00","134.00","0.01K","0.00%"
"07/25/2023","134.00","134.00","134.00","134.00","","0.68%"
"07/24/2023","133.10","133.10","133.10","133.10","","0.08%"
"07/21/2023","133.00","133.00","133.00","133.00","","0.76%"
"07/20/2023","132.00","132.00","132.00","132.00","","0.00%"
"07/19/2023","132.00","131.00","131.00","131.00","0.02K","-1.75%"
"07/18/2023","134.35","134.35","134.35","134.35","0.01K","2.48%"
"07/17/2023","131.10","131.10","131.10","131.10","0.01K","-0.42%"
"07/14/2023","131.65","131.65","131.65","131.65","0.03K","2.85%"
"07/13/2023","128.00","128.00","128.00","128.00","0.02K","-0.81%"
"07/12/2023","129.05","129.05","129.05","129.05","","-1.49%"
"07/11/2023","131.00","131.00","131.00","131.00","0.01K","-2.02%"
"07/10/2023","133.70","133.70","133.70","133.70","","-3.12%"
"07/07/2023","138.00","138.00","138.00","138.00","","-1.18%"
"07/06/2023","139.65","140.00","140.00","140.00","","-3.56%"
"07/05/2023","144.80","144.80","144.80","144.80","0.03K","1.15%"
"07/04/2023","143.15","142.50","142.50","142.50","0.15K","-3.31%"
"07/03/2023","148.05","145.00","145.00","145.00","0.02K","15.62%"
"06/30/2023","128.05","128.05","128.05","128.05","","0.12%"
"06/29/2023","127.90","127.90","127.90","127.90","","0.00%"
"06/28/2023","127.90","127.90","127.90","127.90","","0.00%"
"06/27/2023","127.90","127.90","127.90","127.90","","1.91%"
"06/26/2023","125.50","125.50","125.50","125.50","","0.00%"
"06/23/2023","125.50","125.50","125.50","125.50","","-0.20%"
"06/22/2023","125.75","125.75","125.75","125.75","","1.29%"
"06/21/2023","124.15","124.15","124.15","124.15","0.01K","-1.90%"
"06/20/2023","126.55","126.55","126.55","126.55","0.02K","-1.40%"
"06/19/2023","128.35","128.35","128.35","128.35","","-0.08%"
"06/16/2023","128.45","128.45","128.45","128.45","0.03K","-5.52%"
"06/15/2023","135.95","135.95","135.95","135.95","","2.99%"
"06/14/2023","132.00","132.00","132.00","132.00","","-0.19%"
"06/13/2023","132.25","132.25","132.25","132.25","0.05K","-1.31%"
"06/12/2023","134.00","134.00","134.00","134.00","","-1.25%"
"06/09/2023","135.70","135.70","135.70","135.70","0.01K","-0.40%"
"06/08/2023","136.25","136.25","136.25","136.25","","0.18%"
"06/07/2023","136.00","136.00","136.00","136.00","","1.15%"
"06/06/2023","134.45","134.45","134.45","134.45","0.04K","-2.40%"
"06/05/2023","137.75","137.75","137.75","137.75","","5.15%"
"06/02/2023","131.00","131.00","131.00","131.00","0.02K","0.65%"
"06/01/2023","130.15","130.15","130.15","130.15","0.01K","-3.59%"
"05/31/2023","135.00","138.00","138.00","138.00","0.01K","-0.07%"
"05/30/2023","135.10","135.10","135.10","135.10","","-3.95%"
"05/29/2023","140.65","140.65","140.65","140.65","","-12.09%"
"05/26/2023","160.00","160.00","160.00","160.00","","0.00%"
"05/25/2023","160.00","160.00","160.00","160.00","","-0.16%"
"05/24/2023","160.25","160.25","160.25","160.25","0.00K","0.16%"
"05/23/2023","160.00","160.00","160.00","160.00","","-0.22%"
"05/22/2023","160.35","160.35","160.35","160.35","","-1.17%"
"05/19/2023","162.25","162.25","162.25","162.25","","1.82%"
"05/18/2023","159.35","159.35","159.35","159.35","0.03K","-3.57%"
"05/17/2023","165.25","165.25","165.25","165.25","0.01K","0.89%"
"05/16/2023","163.80","163.80","163.80","163.80","0.01K","0.03%"
"05/15/2023","163.75","163.75","163.75","163.75","0.02K","-0.70%"
"05/12/2023","164.90","166.50","166.50","166.50","0.09K","1.17%"
"05/11/2023","163.00","163.00","163.00","163.00","0.01K","-2.37%"
"05/10/2023","166.95","166.95","166.95","166.95","0.01K","-1.21%"
"05/09/2023","169.00","169.00","169.00","169.00","","-0.38%"
"05/08/2023","169.65","169.65","169.65","169.65","","0.00%"
"05/05/2023","169.65","169.65","169.65","169.65","0.01K","-0.59%"
"05/04/2023","170.65","178.20","178.20","178.20","0.06K","-5.51%"
"05/03/2023","180.60","180.60","180.60","180.60","0.01K","-3.71%"
"05/02/2023","187.55","187.55","187.55","187.55","","1.30%"
"05/01/2023","185.15","185.15","185.15","185.15","","-2.40%"
"04/28/2023","189.70","189.70","189.70","189.70","","-0.13%"
"04/27/2023","189.95","189.95","189.95","189.95","","-0.11%"
"04/26/2023","190.15","190.15","190.15","190.15","","0.58%"
"04/25/2023","189.05","189.05","189.05","189.05","","-0.50%"
"04/24/2023","190.00","190.00","190.00","190.00","","-0.18%"
"04/21/2023","190.35","190.35","190.35","190.35","","-0.73%"
"04/20/2023","191.75","191.75","191.75","191.75","0.00K","-0.39%"
"04/19/2023","192.50","192.50","192.50","192.50","0.00K","2.23%"
"04/18/2023","188.30","188.30","188.30","188.30","","0.70%"
"04/17/2023","187.00","187.00","187.00","187.00","0.00K","-0.53%"
"04/14/2023","188.00","188.00","188.00","188.00","0.02K","-1.44%"
"04/13/2023","190.75","190.75","190.75","190.75","","-1.98%"
"04/12/2023","194.60","194.60","194.60","194.60","0.01K","0.23%"
"04/11/2023","194.15","194.15","194.15","194.15","0.01K","0.21%"
"04/10/2023","193.75","193.75","193.75","193.75","","0.00%"
"04/06/2023","193.75","193.75","193.75","193.75","","-2.15%"
"04/05/2023","198.00","198.00","198.00","198.00","0.03K","2.78%"
"04/04/2023","192.65","192.65","192.65","192.65","0.02K","-3.68%"
"04/03/2023","200.00","197.00","198.00","197.00","0.01K","12.83%"
"03/31/2023","177.25","177.25","177.25","177.25","","0.28%"
"03/30/2023","176.75","176.75","176.75","176.75","","0.08%"
"03/29/2023","176.60","176.60","176.60","176.60","","0.06%"
"03/28/2023","176.50","176.50","176.50","176.50","","0.14%"
"03/27/2023","176.25","176.25","176.25","176.25","","0.51%"
"03/24/2023","175.35","175.35","175.35","175.35","","-0.74%"
"03/23/2023","176.65","176.65","176.65","176.65","","0.06%"
"03/22/2023","176.55","176.55","176.55","176.55","","1.47%"
"03/21/2023","174.00","174.00","174.00","174.00","","1.02%"
"03/20/2023","172.25","173.00","173.00","173.00","0.01K","-0.43%"
